1,6G	polnocvet
824K	3633
820K	4830
820K	3535
820K	3079
816K	734
816K	3333
812K	988
812K	4977
812K	4739
812K	3573
808K	5018
808K	4258
808K	3020
804K	691
804K	3183
804K	3037
800K	793
800K	3475
800K	3273
796K	744
796K	524
796K	4581
796K	3740
796K	3218
792K	800
788K	4950
788K	4679
788K	4357
784K	4155
784K	4137
784K	3702
780K	5223
776K	4768
776K	3785
776K	3092
772K	384
772K	3327
772K	3256
772K	3228
768K	5077
768K	5055
768K	3969
768K	3620
768K	3335
764K	4153
764K	3471
764K	3246
764K	3245
760K	5080
760K	5004
760K	4897
756K	5000
756K	4353
756K	4286
752K	605
752K	549
752K	4352
752K	4194
752K	3512
752K	3457
748K	4231
748K	3799
748K	3263
744K	4959
744K	4925
744K	4368
744K	4200
744K	3351
740K	726
740K	4700
740K	4351
740K	3433
736K	931
736K	3043
732K	891
732K	4683
732K	420
732K	3996
732K	3480
728K	774
728K	5194
728K	380
728K	3769
724K	856
724K	671
724K	3410
724K	327
720K	3445
716K	860
716K	4789
716K	4177
716K	4060
716K	3688
716K	3602
716K	3536
712K	699
712K	5268
712K	5258
712K	4564
712K	4411
708K	947
708K	916
708K	86
708K	5138
708K	4510
708K	4249
704K	4073
704K	4013
700K	4967
700K	4828
700K	4045
700K	4025
700K	3752
700K	3667
700K	3608
696K	95
696K	4791
692K	701
692K	535
692K	4944
692K	4614
692K	4515
692K	4221
692K	3577
692K	351
692K	347
688K	959
688K	687
688K	4957
688K	4442
684K	968
684K	872
684K	841
684K	4964
684K	4760
684K	4659
684K	3930
680K	507
680K	3249
676K	4751
676K	4653
676K	3941
676K	3822
676K	341
676K	3403
672K	964
672K	4757
672K	4355
672K	3834
672K	3484
672K	3297
672K	321
668K	791
668K	675
668K	5305
668K	4811
668K	4566
668K	3771
668K	324
664K	912
664K	822
664K	5169
664K	3774
660K	4432
660K	4334
656K	619
656K	4285
652K	914
652K	805
652K	5081
648K	5341
648K	4756
648K	4130
648K	401
648K	3734
644K	433
640K	717
640K	4545
640K	3186
636K	4509
636K	4283
636K	4159
632K	837
632K	742
632K	4165
632K	3723
628K	949
628K	4305
628K	338
628K	3379
624K	961
624K	4965
624K	4893
624K	4806
624K	3681
624K	3575
620K	843
620K	779
620K	3877
620K	3805
620K	3603
616K	5257
616K	4988
616K	4913
616K	3661
612K	981
612K	646
612K	4902
612K	4728
612K	4227
612K	3012
608K	3612
608K	361
608K	344
608K	3357
604K	589
604K	484
604K	4785
604K	4601
604K	4475
604K	4117
604K	4067
604K	4066
604K	3806
604K	3439
604K	3239
600K	4704
600K	4602
600K	3455
600K	3000
596K	5293
596K	4613
596K	4570
596K	4441
596K	3282
592K	849
592K	4571
592K	3196
588K	814
588K	716
588K	4990
588K	4796
584K	4840
584K	4711
584K	3514
580K	4661
580K	3102
576K	3804
576K	3739
576K	3615
576K	3030
572K	4273
572K	4046
572K	348
572K	3317
572K	3265
568K	5286
568K	513
568K	5022
568K	4615
568K	4206
568K	3733
564K	3462
564K	3448
564K	3270
560K	5283
560K	4730
560K	3591
556K	4436
556K	4428
556K	3701
556K	3428
556K	3378
556K	3199
556K	3131
552K	858
552K	854
552K	611
552K	537
552K	5330
552K	5313
552K	5252
552K	4753
552K	4373
552K	4157
552K	4090
552K	3828
548K	902
548K	703
548K	3906
548K	3632
548K	3619
544K	886
544K	859
544K	4499
544K	3815
544K	3206
540K	624
540K	5060
540K	3760
540K	3483
536K	545
536K	527
536K	4805
536K	4243
532K	970
532K	4167
532K	3881
532K	3820
532K	3644
532K	3424
528K	475
528K	4423
528K	4047
528K	3551
524K	4343
520K	895
520K	4054
520K	3446
516K	745
516K	478
516K	4262
516K	4140
516K	3898
512K	5146
512K	4738
512K	422
512K	3640
508K	890
508K	792
508K	688
508K	4777
508K	3994
504K	820
504K	5266
504K	4118
504K	3358
500K	4252
500K	3889
496K	4821
496K	4668
496K	4196
492K	5103
492K	4639
492K	4559
492K	3917
492K	3900
492K	3371
492K	3154
488K	893
488K	798
488K	4933
488K	4131
488K	3990
488K	3966
484K	974
484K	750
484K	584
484K	3842
480K	3557
480K	3420
480K	3339
480K	307
476K	604
476K	4636
476K	4349
476K	3992
476K	3903
476K	3338
472K	5137
472K	4128
468K	520
468K	5093
468K	4949
468K	472
468K	4364
468K	3286
468K	326
464K	5332
464K	5064
464K	4741
464K	4582
464K	4350
464K	4256
464K	4058
464K	3811
464K	3810
460K	979
460K	930
460K	4898
460K	4605
460K	3882
460K	3710
456K	4803
456K	4598
456K	4312
456K	4279
456K	4147
456K	3851
456K	339
456K	3248
456K	3023
452K	764
452K	5039
452K	4810
452K	4788
452K	4367
452K	4068
452K	4038
452K	3574
448K	4889
448K	4053
448K	373
448K	3611
444K	923
444K	806
444K	4851
444K	4640
444K	4362
444K	3422
440K	656
440K	5213
440K	5034
440K	4794
440K	3788
436K	704
436K	3902
436K	3691
432K	568
432K	3725
428K	909
428K	610
428K	510
428K	4754
428K	4734
428K	4363
428K	4360
428K	4001
428K	3838
428K	3564
428K	3320
424K	879
424K	5065
424K	4599
424K	4178
424K	4092
424K	3853
424K	3813
424K	3342
420K	816
420K	4820
420K	3836
420K	320
416K	4433
416K	4102
416K	3944
416K	3213
412K	953
412K	556
412K	5285
412K	3888
412K	374
412K	345
408K	5323
408K	5297
408K	5023
408K	5020
408K	4831
408K	3587
404K	987
404K	5104
404K	3879
404K	356
404K	354
404K	3212
400K	850
400K	4634
400K	4359
396K	5142
396K	5011
396K	4942
396K	4823
396K	4488
396K	4418
396K	3683
396K	3542
396K	3355
392K	554
392K	4358
392K	3955
392K	3934
392K	3899
392K	3736
392K	3203
388K	676
388K	4577
388K	3778
388K	3728
388K	3468
384K	5090
384K	4792
384K	471
384K	464
384K	4241
380K	829
380K	5315
380K	4873
380K	4748
380K	391
380K	3700
380K	3015
376K	4554
376K	3995
372K	808
372K	797
372K	749
372K	636
372K	5320
372K	5231
372K	4649
372K	4535
372K	4443
372K	4384
372K	4207
372K	3983
372K	3244
368K	838
368K	782
368K	3546
368K	3430
368K	3191
364K	978
364K	4378
364K	4267
360K	881
360K	5254
360K	4468
360K	4422
360K	3910
360K	3749
360K	3684
360K	3663
356K	768
356K	5303
356K	5139
356K	4626
356K	3617
356K	3289
356K	3198
352K	5219
352K	5085
352K	4824
352K	427
352K	4044
352K	3931
352K	3409
352K	3175
348K	5050
348K	4579
348K	4576
348K	3596
344K	616
344K	561
344K	540
344K	5261
344K	4057
344K	3816
344K	3489
344K	3221
340K	492
340K	4769
340K	4655
340K	4454
340K	4161
340K	3929
340K	3912
340K	3606
340K	3299
336K	883
336K	862
336K	4588
336K	432
332K	863
332K	4390
328K	880
328K	5029
328K	4891
328K	4627
328K	3973
328K	323
328K	3017
324K	785
324K	4685
324K	4526
324K	4108
324K	3293
320K	539
320K	4245
316K	528
316K	511
316K	4678
316K	3262
312K	547
312K	5311
312K	4583
312K	4485
312K	4452
312K	4218
312K	3921
312K	3097
308K	809
308K	4650
308K	4282
308K	4136
308K	3901
308K	3609
308K	316
308K	3153
304K	642
304K	5136
304K	3730
304K	3579
304K	3253
300K	828
300K	733
300K	4932
300K	3756
300K	3618
296K	963
296K	530
296K	4914
296K	4541
296K	4451
296K	4298
296K	4297
296K	4296
296K	4281
296K	3753
296K	3308
292K	707
292K	4699
292K	4116
292K	3905
292K	3639
288K	989
288K	4716
288K	3687
288K	3571
288K	3306
284K	903
284K	5299
284K	4641
284K	4225
284K	3677
280K	5182
280K	5107
280K	346
280K	3182
276K	4945
276K	4540
276K	3873
272K	950
272K	5111
272K	3572
268K	758
268K	4917
268K	4795
268K	4290
268K	3580
264K	5310
264K	4684
260K	927
260K	786
260K	710
260K	4471
256K	4405
256K	4115
252K	944
252K	514
252K	482
252K	4299
252K	4276
252K	3349
252K	3211
248K	876
248K	4819
248K	4229
248K	4228
244K	651
244K	4818
244K	4612
244K	4580
244K	3758
244K	3585
244K	3148
240K	815
240K	4071
240K	3786
240K	3784
240K	3532
236K	865
236K	693
236K	4841
236K	4333
236K	4332
236K	4220
236K	3776
236K	3139
236K	3063
236K	3040
232K	780
232K	5273
232K	4517
232K	4019
232K	3793
232K	3767
232K	3744
232K	3497
232K	3036
228K	557
228K	5024
228K	4667
228K	3847
224K	835
224K	3861
224K	3854
220K	801
220K	546
220K	509
220K	4775
220K	4686
220K	450
216K	702
216K	4447
216K	3970
212K	700
212K	4005
212K	3482
208K	766
208K	4534
208K	3867
208K	369
208K	3495
208K	3075
208K	3051
204K	4956
204K	474
204K	4568
204K	4224
204K	3937
204K	3692
204K	3651
204K	3343
200K	831
200K	4139
200K	3173
196K	976
196K	657
196K	3960
196K	3305
192K	4497
192K	4263
188K	775
188K	754
188K	738
188K	578
188K	4619
188K	3967
188K	376
188K	3641
188K	3538
188K	3031
180K	5028
180K	4525
180K	4012
180K	4011
180K	3713
180K	3429
180K	3053
176K	4375
176K	4308
176K	4082
172K	5317
172K	4327
172K	4021
172K	3962
172K	3938
172K	3875
168K	4750
168K	4608
168K	4250
168K	3874
168K	3859
164K	516
164K	4947
164K	4404
164K	4266
164K	3332
160K	926
160K	622
160K	5059
160K	491
160K	4676
160K	4444
160K	4209
160K	4017
160K	3315
156K	694
156K	4508
156K	4265
156K	3800
156K	3777
152K	534
152K	4611
152K	454
152K	443
152K	3321
148K	951
148K	4430
148K	3703
148K	3550
148K	3291
144K	857
144K	833
144K	569
144K	4555
144K	4412
144K	4370
144K	4295
144K	4294
144K	4293
144K	4292
144K	4291
140K	4717
140K	4624
140K	4413
140K	3909
140K	3558
136K	4632
136K	4240
136K	4238
136K	3988
136K	3972
136K	3869
136K	3292
136K	3250
132K	938
132K	614
132K	4910
132K	430
132K	3843
128K	5013
128K	4248
128K	4027
124K	4672
124K	4558
124K	4008
124K	3768
124K	3679
124K	3649
120K	908
120K	3915
120K	3821
120K	3637
116K	4511
116K	4251
116K	3735
112K	686
112K	626
108K	4633
108K	4391
108K	4374
108K	4201
104K	4778
104K	4714
104K	3654
100K	765
100K	3913
100K	3757
96K	4911
96K	4490
96K	4469
96K	3783
92K	5025
92K	4607
92K	4446
92K	3689
92K	3590
88K	5269
88K	4557
88K	4536
88K	3870
88K	3826
84K	4162
84K	4061
84K	3650
80K	4647
80K	4461
80K	4434
80K	4330
80K	4093
80K	3932
80K	3819
76K	998
76K	761
76K	4094
76K	3927
76K	3712
72K	501
72K	500
72K	4772
72K	4749
72K	4219
72K	4070
72K	4035
72K	3982
72K	3980
68K	4723
68K	4563
68K	4549
68K	4427
68K	4280
68K	4257
68K	4195
68K	4009
68K	3750
68K	3721
68K	3718
68K	3695
68K	3693
68K	3490
64K	643
64K	4453
64K	4392
56K	4939
56K	4927
56K	4635
56K	3824
56K	3823
52K	991
48K	871
48K	678
48K	625
48K	5306
48K	5298
48K	5284
48K	5280
48K	5277
48K	5276
48K	5187
48K	5186
48K	5166
48K	5165
48K	5118
48K	489
48K	4888
48K	4623
48K	4512
48K	4417
48K	4402
48K	4394
48K	4331
48K	4065
48K	4007
48K	3974
48K	3954
48K	3694
48K	3680
44K	741
44K	732
44K	4398
44K	3957
40K	977
40K	747
40K	3670
36K	972
36K	905
36K	586
36K	4718
36K	4445
32K	4074
28K	737
28K	573
28K	5083
28K	4543
28K	4056
24K	3883
20K	911
20K	901
20K	575
12K	images
8,0K	898
8,0K	888
4,0K	index.html
4,0K	960
4,0K	955
4,0K	932
4,0K	919
4,0K	861
4,0K	853
4,0K	839
4,0K	832
4,0K	813
4,0K	794
4,0K	773
4,0K	748
4,0K	736
4,0K	735
4,0K	718
4,0K	706
4,0K	629
4,0K	564
4,0K	562
4,0K	5340
4,0K	5337
4,0K	5336
4,0K	5335
4,0K	5334
4,0K	5312
4,0K	5275
4,0K	5274
4,0K	5263
4,0K	5262
4,0K	5247
4,0K	5246
4,0K	5245
4,0K	5244
4,0K	5243
4,0K	5242
4,0K	5241
4,0K	5240
4,0K	5239
4,0K	5234
4,0K	5230
4,0K	5212
4,0K	5211
4,0K	521
4,0K	5208
4,0K	5200
4,0K	5184
4,0K	5183
4,0K	5171
4,0K	5162
4,0K	5161
4,0K	5159
4,0K	5157
4,0K	5124
4,0K	5122
4,0K	5117
4,0K	5114
4,0K	5113
4,0K	5110
4,0K	5109
4,0K	5108
4,0K	5087
4,0K	5082
4,0K	5074
4,0K	5073
4,0K	5072
4,0K	5071
4,0K	5070
4,0K	5066
4,0K	5030
4,0K	5027
4,0K	5015
4,0K	5005
4,0K	4999
4,0K	4998
4,0K	4996
4,0K	4995
4,0K	4994
4,0K	4993
4,0K	4992
4,0K	4991
4,0K	4961
4,0K	4960
4,0K	4937
4,0K	4905
4,0K	4904
4,0K	4894
4,0K	4861
4,0K	4773
4,0K	4759
4,0K	4395
4,0K	4376
4,0K	4324
4,0K	4198
4,0K	410
4,0K	3979
4,0K	3975
4,0K	3958
4,0K	3780
4,0K	3737
4,0K	3724
4,0K	3660
4,0K	3648
4,0K	3592
4,0K	3559
4,0K	3530
4,0K	3523
4,0K	3521
4,0K	3487
4,0K	3485
4,0K	3481
4,0K	3406
4,0K	3368
4,0K	3039
32K	sise.txt
